id,text,user,created_at,coding
1.82424e+18,"🚨 JUST IN: Monkeypox (Mpox) has now been detected in the wastewater of two different districts in San Francisco

This comes just ONE DAY after the WHO decided to declare monkeypox a “global health emergency”

Great timing, huh?

We’re NOT playing this game again.

(via https://t.co/ux2Wd06c93",nicksortor,Fri Aug 16 00:39:38 +0000 2024,"harmful, false claims"
1.82425e+18,🔥🚨BREAKING NEWS: Monkeypox has been detected in the wastewater of two different districts in San Francisco. The WHO declared monkeypox a global health emergency yesterday. Their timing was perfect now that the illness is in The United States a day after their announcement. https://t.co/uJmMVLysFq,dom_lucre,Fri Aug 16 00:57:54 +0000 2024,"potentially misleading, unconfirmed claim"
1.82426e+18,"🚨#BREAKING: Mpox Known as Monkeypox has now been detected in the wastewater of two different districts 

📌#SanFrancisco | #California 

Currently, officials are investigating as wastewater from two separate districts in San Francisco, California, has detected the presence of https://t.co/u2Xp0jJkOs",rawsalerts,Fri Aug 16 01:24:48 +0000 2024,"potentially misleading, missing info"
1.82426e+18,Man infected with Monkeypox in San Francisco speaks out https://t.co/4KQr2DLd56,FearedBuck,Fri Aug 16 01:25:54 +0000 2024,"potentially misleading, missing info"
1.82426e+18,"MonkeyPox is NO joke. 

Watch this. 👀 https://t.co/0BULuHXL0T",iAnonPatriot,Fri Aug 16 01:26:45 +0000 2024,"safe, reaction"
1.82426e+18,"BREAKING:  Monkeypox has now been detected in the wastewater of two different districts in California..

They're doing that one thing again.",akafacehots,Fri Aug 16 01:30:00 +0000 2024,"potentially misleading, missing info"
1.82426e+18,"Do you not find it curious how in the space of 50 years, monkeypox has never really gotten off the ground outside of a couple of countries in Africa, but then within two years of the alleged emergence of Covid-19, monkeypox is suddenly in every Western nation and being hyped up https://t.co/MgSdN9r77c",toobaffled,Fri Aug 16 01:30:27 +0000 2024,"false claims, harmful, vaccine fear mongering, questions authenticity of news"
1.82426e+18,"FUCK YOUR COVID
FUCK YOUR MONKEYPOX
FUCK YOUR MRNA
FUCK YOUR MASKS

FUCK YOUR CLIMATE CHANGE
FUCK YOUR CARBON TAX
FUCK YOUR NET ZERO
FUCK YOUR EV CARS

FUCK YOUR WEF
FUCK YOUR NATO
FUCK YOUR UN
FUCK YOUR NWO

FUCK YOUR ILLEGAL WARS
FUCK YOUR TRUDEAU'S 
FUCK YOUR ZELINSKY'S
FUCK",govt_corrupt,Fri Aug 16 01:42:14 +0000 2024,unrelated
1.82429e+18,"What is Monkeypox?

•Monkeypox is a zoonosis, a disease that is transmitted from infected animals to humans.
•According to the WHO, cases occur close to tropical rainforests inhabited by animals that carry the virus
•The first human case of mpox was recorded in 1970 in the DRC https://t.co/YDf0c655nC",UpscforAll,Fri Aug 16 03:34:15 +0000 2024,"safe, uses official information"
1.82432e+18,Kenya is set to benefit from a Sh2 billion fund from WHO to combat Mpox.,moneyacademyKE,Fri Aug 16 05:30:00 +0000 2024,"safe, uses verifiable information"
1.82433e+18,"The Mpox scam is boiling nicely.

There is no Kenyan who has been found with this fictitious viral disease.

— Next will be vaccine mandates.

WHO is a crooked and criminal commercial entity hoarding the health of Afrikans in the global market.",amerix,Fri Aug 16 06:10:21 +0000 2024,"false claims, harmful, vaccine fear mongering"
1.82434e+18,"BREAKING:

Pakistan confirms its first three cases of monkeypox. https://t.co/UHMtU37L7b",GlobeEyeNews,Fri Aug 16 06:46:24 +0000 2024,"safe, uses verifiable information"
1.82434e+18,"Reminder it's ""Mpox"", NOT ""Monkeypox"".

The name was changed in 2022 in response to the racism and stigma that the previous name caused.",adamfare1996,Fri Aug 16 07:06:09 +0000 2024,"safe, reaction"
1.82435e+18,BREAKING: Pakistan reports mpox case,spectatorindex,Fri Aug 16 07:20:01 +0000 2024,"safe, uses verifiable information"
1.82435e+18,Pakistan reports three new cases of Mpox from people who arrived from the UAE after the disease was declared a public health emergency. https://t.co/nzNiFpcSTR,PopBase,Fri Aug 16 07:28:32 +0000 2024,"safe, uses verifiable information"
1.82435e+18,"🚨GLOBAL EMERGENCY: WHAT IS MPOX?

Formerly known as Monkey Pox, Mpox is a viral disease that has been compared to smallpox.

It can be spread through close contact, including touching, kissing, or sex, as well as through contaminated materials like sheets, clothing, and needles, https://t.co/UWnVSPGBKJ",MarioNawfal,Fri Aug 16 07:31:58 +0000 2024,"safe, uses official information"
1.82436e+18,"MPox memes depository here 👇

Go. https://t.co/p0cVc1jUsC",BGatesIsaPyscho,Fri Aug 16 08:08:40 +0000 2024,"harmful, questions authenticity of news creator name"
1.82436e+18,"IMPORTANT #Mpox update from THE SCIENCE 

#plandemic #monkeybumming #WHO https://t.co/JqplF2sMK8",KTHopkins,Fri Aug 16 08:18:11 +0000 2024,"harmful, pharma conspiracy fear mongering"
1.82436e+18,"Monkey Pox - I've captured the page in anticipation that it will change:

""Rare disease...""

""As of 31 May 2023, over 3,700 cases of mpox have been identified in the UK since 7 May 2022. The majority of these cases have occurred in gay, bisexual, and other men who have sex with https://t.co/HlhMkitIyA",zoeharcombe,Fri Aug 16 08:27:41 +0000 2024,"safe, uses official information"
1.82437e+18,"Renaming monkey pox to mpox because the former could be ""racist"" is an incredible own goal. Like why are you thinking monkey is racist bro.",dk_fakegod,Fri Aug 16 08:49:17 +0000 2024,"safe, reaction"
1.82438e+18,"The WHO's Dr. Michael Ryan on the so-called ""Mpox global health emergency"": 

""The world needs to, in this case, as it did for Covid and in other diseases, come together to make sure that we're doing surveillance together... that there's political commitment, that there's https://t.co/6XbVFxjNqL",wideawake_media,Fri Aug 16 09:31:56 +0000 2024,"safe, uses official information"
1.82439e+18,Mpox è l’acronimo per Monkeypox = Vaiolo delle scimmie. Ma se preferisce lo chiamiamo Ugo.,ladyonorato,Fri Aug 16 10:35:20 +0000 2024,not english
1.82441e+18,در ۲۰۲۲ نام آبله میمون monkeypox به آبله ام mpox تغییر کرد. این کار WHO بر اساس پاکیزگی سیاسی صورت گرفت تا احساسات جامعه میمونها جریحه دار نشود و آنها هدف تعصب و تبعیض نابجا قرار نگیرند. جامعه میمونها در دنیایی که طرفداران حماس و ج ا درکاخ سفید هستند نباید احساس انزوا کنند https://t.co/UREO3LbQdL,Maj_mohammadi,Fri Aug 16 11:55:31 +0000 2024,not english
1.82442e+18,"People are really going to wish they had upgraded their indoor air quality measures for COVID when MPox rolls in.

The 21 day incubation period plus pre-symptomatic spread will make it impossible to contain after the fact. 

News that there are already cases and measurable",alvelda,Fri Aug 16 11:57:47 +0000 2024,"safe, uses verifiable information"
1.82444e+18,"UK Dude claims to have contracted Mpox

If this isn’t a joke I’m done. https://t.co/Aw1oa1GkHH",BGatesIsaPyscho,Fri Aug 16 13:23:32 +0000 2024,"potentially misleading, unconfirmed claim"
1.82444e+18,"The outbreak of mpox, formerly known as Monkeypox because there are men who have sex with monkeys, supports my common sense secular case for the government to promote sexual conservatism while respecting individual rights.",CityBureaucrat,Fri Aug 16 13:40:47 +0000 2024,"harmful, anti lgbtq+ fear mongering"
1.82445e+18,The World Health Organization just announced a public health emergency in response to rising rates of Monkeypox in Africa. The average American has nothing to fear from Monkeypox but this announcement makes it clear the globalists are hellbent on a pandemic this year. Whether,GenFlynn,Fri Aug 16 14:09:02 +0000 2024,"harmful, planned pandemic, selling supplements creator name"
1.82451e+18,🚨 Reports indicate that Noah Schnapp has tested positive for monkeypox. https://t.co/TtF102D3Ty,LyricVault,Fri Aug 16 18:26:25 +0000 2024,"safe, satire"
1.82454e+18,"Good Afternoon Twitter. 

As embarrassing as this is to post I feel I have to let people know and a moment to educate. 

I tested positive for MPOX today. 

I have had some sores on my ass for a few weeks as you guys know. 3 Urgent Care visits a different Dr each time and 1 ER",austen_jakobs,Fri Aug 16 20:28:37 +0000 2024,"safe, infected person"
1.82455e+18,"The current mpox outbreak is 100x more lethal than 2022.

Clade I (now) carries a 5% mortality rate, compared to Clade II (2022) which was less than 0.05%. 

This is a major shift in severity. 

Stay informed and protected.

 #mpox #healthalert #publichealth",Monkeypoxtally,Fri Aug 16 21:09:54 +0000 2024,"safe, uses verifiable information"
1.82456e+18,"What do Covid, Bird Flu, and Mpox have in common?",1goodtern,Fri Aug 16 21:32:51 +0000 2024,unrelated
1.82458e+18,BREAKING: WHO has reportedly instructed world governments to prepare for lockdowns due to monkeypox outbreak.,RealPatrickWebb,Fri Aug 16 22:45:32 +0000 2024,"harmful, false claims posing as official source"
1.82458e+18,"BREAKING 🚨

The World Health Organization has reportedly instructed governments to prepare for lockdowns due to monkeypox. 

👀",iAnonPatriot,Fri Aug 16 22:56:18 +0000 2024,"harmful, false claims"
1.82459e+18,"If they try to lock us down over the “monkeypox”

DO NOT COMPLY!!!",GrahamAllen_1,Fri Aug 16 23:21:44 +0000 2024,"harmful, false claims"
1.82692e+18,Monkeypox doesn’t necessarily come from Monkeys. Mpox was first identified in laboratory monkeys in 1958 hence the origin of this name. Monkeypox spreads when a person comes in contact with an animal or a person who has the virus.,AdityaRajKaul,Fri Aug 23 09:53:20 +0000 2024,"safe, reaction to misinformation"
1.82694e+18,Kenya has confirmed its first case of MPox famously known as Monkey Pox. This will put the William Ruto regime into test. Just like COVID 19 During Uhuru Kenyatta's tenure. How will the man from Sugoi handle the cases with his incompetent cabinet? We are up for a Disaster!,edgarwabwire_,Fri Aug 23 11:12:22 +0000 2024,"safe, reaction"
1.82702e+18,"The live virus Monkeypox (mpox) vaccine insert (under). Not only will it destroy hearts, it will cause monkeypox in those with compromised immune systems and in those around the vaccinated. It will spawn a pandemic where none exists.

Insert credit @HerbsandDirt https://t.co/frQY851Kzv",DGrouf,Fri Aug 23 16:27:01 +0000 2024,"harmful, vaccine fear mongering"
1.82538e+18,"BREAKING: The DOH has detected one new case of monkeypox, also known as mpox, in the country. The 10th laboratory-confirmed mpox case was reported to the DOH on Sunday, Aug. 18. This is after the WHO declared mpox a global public health emergency for the second time in two years. https://t.co/bkTTe8ANZ0",inquirerdotnet,Mon Aug 19 04:09:59 +0000 2024,"safe, uses official information"
1.8254e+18,"What is Mpox?
Mpox (monkeypox) is a viral illness caused by the monkeypox virus, a species of the genus Orthopoxvirus. Two different clades exist: clade I and clade II

Common symptoms of mpox are a skin rash or mucosal lesions which can last 2–4 weeks accompanied by fever,",DGHisham,Mon Aug 19 04:52:16 +0000 2024,"safe, uses official information"
1.82543e+18,So-called Monkey Pox is a direct result of the COVID-19 vaccine. https://t.co/kDDAFs3tB0,Lebona_cabonena,Mon Aug 19 06:50:57 +0000 2024,"harmful, vaccine fear mongering"
1.82543e+18,"If monkeypox/mpox is essentially an STD*, perhaps it is time to promote traditional family values once again in the West?

A move away for degeneracy/debauchery and back toward wholesomeness would be a good thing.

Make unprotected sex with strangers a thing of the past. https://t.co/MWRAYJKJSa",calvinrobinson,Mon Aug 19 07:27:04 +0000 2024,"harmful, anti lgbtq+ fear mongering"
