id,text,user,created_at,coding
1.85495e+18,"Three new Mpox cases confirmed in Kenya, national tally rises to 17 https://t.co/ZZizrheSor",MOH_Kenya,Fri Nov 08 18:01:33 +0000 2024,"safe, uses verifiable information"
1.85496e+18,"Three new Mpox cases reported, total rises to 17
https://t.co/sNubQQsbg5 https://t.co/nu87ABZ36a",StandardKenya,Fri Nov 08 18:37:03 +0000 2024,"safe, uses verifiable information"
1.85497e+18,"VIDEO: @MinofHealthUG in collaboration with partner organizations has intensified efforts to raise awareness about the Mpox outbreak in schools and communities that erupted in the country three months ago.

@MugenyiHenry_ 

#NBSLiveAt9 #NBSUpdates https://t.co/PWFrFTsZYV",nbstv,Fri Nov 08 19:14:23 +0000 2024,"safe, uses verifiable information"
1.85579e+18,"The World Health Organisation and the Africa Centre for Disease Control and Prevention experts have decided to provide guidance for the development of targeted Mpox vaccine preparedness and deployment plans, to ensure available doses are used efficiently.

https://t.co/e7BPeRMKoq",MobilePunch,Mon Nov 11 01:53:22 +0000 2024,"safe, uses official information"
1.85585e+18,MPOX - My Part Of X,Dave_9000ish,Mon Nov 11 05:43:33 +0000 2024,deleted
1.85585e+18,"Physical touch is a love language but Mpox spreads easily through touch/contact. 
Limit physical touch and protect yourself and your loved ones #MOHatWork https://t.co/ryKlWKqxMF",MinofHealthUG,Mon Nov 11 06:02:29 +0000 2024,"safe, uses official information"
1.85587e+18,"Attention, everyone! I have Monkeypox. I have joined the Monkey Part Of X",slurplebrained,Mon Nov 11 06:56:56 +0000 2024,"safe, satire"
1.85589e+18,"Noticing a troubling trend in Kenya: recurring yearly epidemics like cholera,malaria, measles dengue, alongside emerging threats like Mpox , COVID-19 and looming threat of Marburg.Our geographic position and proximity to neighboring outbreak zones is  continuously heightening",mbiti_mwondi,Mon Nov 11 08:46:16 +0000 2024,"safe, reaction"
1.8559e+18,WHO to convene emergency meeting on mpox on Nov. 22 https://t.co/elU2Hnvgiy https://t.co/O0Lo3q7mXH,Reuters,Mon Nov 11 08:50:05 +0000 2024,"safe, uses official information"
1.85591e+18,"🚨W.H.O. TO HOLD MPOX EMERGENCY MEETING 

The World Health Organization’s Emergency Committee will meet next week to assess whether Mpox still qualifies as a global health crisis. 

Since August, when a new strain emerged in Africa, cases have surged to nearly 47,000 with over https://t.co/IKupAZAa3e",MarioNawfal,Mon Nov 11 10:04:50 +0000 2024,"safe, uses verifiable information"
