id,text,user,created_at,coding
1824710341290242210,"Monkeypox is currently in a multi-country outbreak and has currently been classified as a ""Public health emergency of international concern"" by the @WHO
One pager infographic on mpox https://t.co/d5ZzfspS0h",ashwinrajenesh,Sat Aug 17 07:30:21 +0000 2024,safe uses official information
1823833094765555742,"JUST IN: Mpox Outbreak Reaches 14 Total African Countries With Cases Rising To 15,000.

Mpox, short for Monkeypox, is believed to be airborne and can lead to serious health issues and death.

Travelers to and from African countries have been warned to visit with extreme caution. https://t.co/EztoPNesEW",JakeGagain,Wed Aug 14 21:24:29 +0000 2024,potentially misleading number quoted has no source
1826063358384288126,"This Matrix is wild when you have eyes to see and ears to hear.  Monkeypox (which they now call mpox so you won't notice) was declared a World Hell emergency on August 14th. Bad Monkey was released on Apple TV on Aug 14. Also, the third largest statue in the US was just unveiled https://t.co/VEd2RoyZgP",BerwickJeff,Wed Aug 21 01:06:45 +0000 2024,harmful pharma conspiracy fear mongering
1825167006733099075,"Monkeypox: ‘mpox’ is a viral infection
Spread via:
- Close contact
- Clothes/towels/all contaminated surfaces
- Droplet &amp; aerosol (airborne)
- Human to human &amp; animal to human
- Asymptomatic transmission has even reported (getting it from someone not showing symptoms yet) https://t.co/qvVGcmnZfm",PrognosticChats,Sun Aug 18 13:44:59 +0000 2024,safe uses official information
1824029950996779246,"Geert warned 2 yrs ago. Do not vaccinate Mpox.

In no time we will be developing more infectious monkey pox variants.

Vaccinating with non-replicating vaccines will help it to evolve.  
@GVDBossche @ALEXNEWMAN_JOU 

#Mpox #MonkeyPox 

Full interview 
https://t.co/C2NHDsPCEj https://t.co/BGzoDBqzPZ",mpetrus19,Thu Aug 15 10:26:43 +0000 2024,harmful
1825840466115571990,"You only need 5 minutes to learn about Mpox (aka Monkeypox) 

Share this with your loved ones and stay safe.

(1/5) https://t.co/oAuUEPGVW6",cilisosmy,Tue Aug 20 10:21:04 +0000 2024,safe uses official information
1824414685342396426,در ۲۰۲۲ نام آبله میمون monkeypox به آبله ام mpox تغییر کرد. این کار WHO بر اساس پاکیزگی سیاسی صورت گرفت تا احساسات جامعه میمونها جریحه دار نشود و آنها هدف تعصب و تبعیض نابجا قرار نگیرند. جامعه میمونها در دنیایی که طرفداران حماس و ج ا درکاخ سفید هستند نباید احساس انزوا کنند https://t.co/UREO3LbQdL,Maj_mohammadi,Fri Aug 16 11:55:31 +0000 2024,not english
1823966589999571383,"Kenyataan Media Kementerian Kesihatan Malaysia

Situasi Semasa Kes Monkey Pox (MPOX) https://t.co/x2fNJMCn3n",KKMPutrajaya,Thu Aug 15 06:14:57 +0000 2024,not english
1823815303664640362,Mpox (formerly known as monkeypox) re-entering the news cycle: https://t.co/6keCDLSLI0,firastopher,Wed Aug 14 20:13:47 +0000 2024,safe reaction
1824779458974499190,"With the rise in mpox cases across Africa, @WHO has declared it a public health emergency of international concern.

Learn the key facts about the disease and how to protect yourself: https://t.co/Vxztimyi72 https://t.co/O2oxc7qVR6",UN,Sat Aug 17 12:05:00 +0000 2024,safe uses official information
1827019724179321259,"The live virus Monkeypox (mpox) vaccine insert (under). Not only will it destroy hearts, it will cause monkeypox in those with compromised immune systems and in those around the vaccinated. It will spawn a pandemic where none exists.

Insert credit @HerbsandDirt https://t.co/frQY851Kzv",DGrouf,Fri Aug 23 16:27:01 +0000 2024,harmful vaccine fear mongering
1835897462122528920,"Mpox merupakan penyakit yang berpunca daripada virus monkeypox. 

Virus ini boleh merebak dan menjangkiti orang lain melalui sentuhan rapat dengan individu yang mempunyai gejala dan tanda jangkitan. 

Ia juga boleh merebak melalui  kontak secara langsung dengan peralatan yang https://t.co/CR21nHoeUM",KKMPutrajaya,Tue Sep 17 04:23:58 +0000 2024,not english
1824783111835488703,"According to the WHO clade 1 Mpox is now a GLOBAL health emergency, and the incubation period can be up to 21 days

According to the UK govt list of HCIDs clade 1 Mpox is airborne

In months there’ll be a lot of people with Mpox saying “but we didn’t know”

Yeah we did - mask NOW https://t.co/GMyV7Jtxcl",SleepyJim0,Sat Aug 17 12:19:31 +0000 2024,safe uses official information
1825590325613842925,"🚨WHO declares mpox (monkeypox) outbreak a public health emergency of international concern.

What is mpox? 

Is that really ""gay disease"" as stereoptyped?

8 key facts about mpox 🧵 https://t.co/PhJlPr7A4R",bitcoinmalaya,Mon Aug 19 17:47:06 +0000 2024,safe uses official information
