game_date,home_team,away_team,home_goals_pg,home_assists_pg,home_sog_pg,home_goalie_save_pct,away_goals_pg,away_assists_pg,away_sog_pg,away_goalie_save_pct,predicted_winner,home_goals,away_goals,actual_winner,accuracy,win_accuracy_pct,home_accuracy_goals_off,away_accuracy_goals_off,home_accuracy,away_accuracy
10/10/2023,TBL,NSH,5,8,45,90.25699397,4,8,43,90.92841846,Home,5,3,Home,correct,0.56097561,0,1,0.08961753,0.039576191
10/10/2023,PIT,CHI,5,8,46,90.39191304,4,6,42,89.52033052,Home,2,4,Away,incorrect,,3,0,,
10/10/2023,VGK,SEA,6,9,53,90.60578273,5,7,45,89.99832765,Home,4,1,Home,correct,,2,4,,
10/11/2023,CAR,OTT,5,9,54,89.96215447,4,7,46,88.41582827,Home,5,3,Home,correct,,0,1,,
10/11/2023,TOR,MTL,6,8,47,90.11018129,5,8,45,89.38518268,Home,6,5,Home,correct,,0,0,,
10/11/2023,BOS,CHI,5,8,46,91.6494503,4,6,42,89.52033052,Home,3,1,Home,correct,,2,3,,
10/11/2023,CGY,WPG,4,7,45,89.89792157,6,8,48,91.40144228,Away,5,3,Home,incorrect,,-1,3,,
10/11/2023,LAK,COL,4,7,41,90.65546873,5,8,50,90.59460905,Away,2,5,Away,correct,,2,0,,
10/11/2023,VAN,EDM,4,7,40,90.21253125,5,8,46,89.92940112,Away,8,1,Home,incorrect,,-4,4,,
10/12/2023,BUF,NYR,4,7,40,89.9781732,5,8,48,90.71690441,Away,1,5,Away,correct,,3,0,,
10/12/2023,CBJ,PHI,6,7,50,89.76438913,7,7,44,87.90447534,Away,2,4,Away,correct,,4,3,,
10/12/2023,NJD,DET,6,7,44,88.81928076,5,7,41,90.05476838,Home,4,3,Home,correct,,2,2,,
10/12/2023,DAL,STL,5,7,44,90.16246728,6,7,42,90.705877,Away,2,1,Home,incorrect,,3,5,,
10/12/2023,MIN,FLA,4,7,42,90.68396128,5,7,47,90.07964675,Away,2,0,Home,incorrect,,2,5,,
10/12/2023,NSH,SEA,4,8,43,90.92841846,5,7,45,89.99832765,Away,3,0,Home,incorrect,,1,5,,
10/12/2023,SJS,VGK,4,7,46,87.96113736,6,9,53,90.60578273,Away,1,4,Away,correct,,3,2,,
10/13/2023,NJD,ARI,4,7,44,88.81928076,5,8,39,89.98372165,Away,3,4,Away,correct,,1,1,,
10/13/2023,WSH,PIT,4,7,42,90.79787525,5,8,46,90.39191304,Away,0,4,Away,correct,,4,1,,
10/14/2023,OTT,PHI,4,7,46,88.41582827,5,7,44,87.90447534,Away,5,2,Home,incorrect,,-1,3,,
10/14/2023,WPG,FLA,6,8,48,91.40144228,7,7,47,90.07964675,Away,6,4,Home,incorrect,,0,3,,
10/14/2023,BOS,NSH,5,8,46,91.6494503,6,8,43,90.92841846,Away,3,2,Home,incorrect,,2,4,,
10/14/2023,CBJ,NYR,6,7,50,89.76438913,7,8,48,90.71690441,Away,5,3,Home,incorrect,,1,4,,
