game_date,away_team,home_team
10/10/2023,NSH,TBL
10/10/2023,CHI,PIT
10/10/2023,SEA,VGK
10/11/2023,OTT,CAR
10/11/2023,MTL,TOR
10/11/2023,CHI,BOS
10/11/2023,WPG,CGY
10/11/2023,COL,LAK
10/11/2023,EDM,VAN
10/12/2023,NYR,BUF
10/12/2023,PHI,CBJ
10/12/2023,DET,NJD
10/12/2023,STL,DAL
10/12/2023,FLA,MIN
10/12/2023,SEA,NSH
10/12/2023,VGK,SJS
10/13/2023,ARI,NJD
10/13/2023,PIT,WSH
10/14/2023,PHI,OTT
10/14/2023,FLA,WPG
10/14/2023,NSH,BOS
10/14/2023,NYR,CBJ
10/14/2023,TBL,DET
10/14/2023,CHI,MTL
10/14/2023,CGY,PIT
10/14/2023,MIN,TOR
10/14/2023,BUF,NYI
10/14/2023,SEA,STL
10/14/2023,VAN,EDM
10/14/2023,COL,SJS
10/14/2023,ANA,VGK
10/14/2023,CAR,LAK
10/15/2023,TBL,OTT
10/15/2023,CAR,ANA
10/16/2023,DET,CBJ
10/16/2023,FLA,NJD
10/16/2023,ARI,NYR
10/16/2023,CHI,TOR
10/16/2023,CGY,WSH
10/17/2023,VAN,PHI
10/17/2023,MIN,MTL
10/17/2023,TBL,BUF
10/17/2023,ARI,NYI
10/17/2023,EDM,NSH
10/17/2023,LAK,WPG
10/17/2023,COL,SEA
10/17/2023,CAR,SJS
10/17/2023,DAL,VGK
10/18/2023,WSH,OTT
10/18/2023,PIT,DET
10/19/2023,CGY,BUF
10/19/2023,TOR,FLA
10/19/2023,NSH,NYR
10/19/2023,VAN,TBL
10/19/2023,EDM,PHI
10/19/2023,LAK,MIN
10/19/2023,ARI,STL
10/19/2023,VGK,WPG
10/19/2023,DAL,ANA
10/19/2023,CAR,SEA
10/19/2023,CHI,COL
10/19/2023,BOS,SJS
10/20/2023,CGY,CBJ
10/20/2023,NJD,NYI
10/21/2023,DET,OTT
10/21/2023,ANA,ARI
10/21/2023,NYI,BUF
10/21/2023,VAN,FLA
10/21/2023,WSH,MTL
10/21/2023,TOR,TBL
10/21/2023,VGK,CHI
10/21/2023,PHI,DAL
10/21/2023,CBJ,MIN
10/21/2023,SJS,NSH
10/21/2023,PIT,STL
10/21/2023,CAR,COL
10/21/2023,WPG,EDM
10/21/2023,NYR,SEA
10/21/2023,BOS,LAK
10/22/2023,CGY,DET
10/22/2023,BOS,ANA
10/23/2023,MTL,BUF
10/24/2023,TOR,WSH
10/24/2023,BUF,OTT
10/24/2023,CAR,TBL
10/24/2023,NJD,MTL
10/24/2023,DAL,PIT
10/24/2023,SJS,FLA
10/24/2023,COL,NYI
10/24/2023,SEA,DET
10/24/2023,ANA,CBJ
10/24/2023,BOS,CHI
10/24/2023,STL,WPG
10/24/2023,EDM,MIN
10/24/2023,VAN,NSH
10/24/2023,NYR,CGY
10/24/2023,ARI,LAK
10/24/2023,PHI,VGK
10/25/2023,WSH,NJD
10/26/2023,ANA,BOS
10/26/2023,SEA,CAR
10/26/2023,WPG,DET
10/26/2023,CBJ,MTL
10/26/2023,COL,PIT
10/26/2023,SJS,TBL
10/26/2023,MIN,PHI
10/26/2023,OTT,NYI
10/26/2023,TOR,DAL
10/26/2023,STL,CGY
10/26/2023,NYR,EDM
10/27/2023,CHI,VGK
10/27/2023,SJS,CAR
10/27/2023,BUF,NJD
10/27/2023,MIN,WSH
10/27/2023,LAK,ARI
10/27/2023,STL,VAN
10/28/2023,ANA,PHI
10/28/2023,SEA,FLA
10/28/2023,DET,BOS
10/28/2023,NYI,CBJ
10/28/2023,WPG,MTL
10/28/2023,TOR,NSH
10/28/2023,OTT,PIT
10/28/2023,NYR,VAN
10/28/2023,VGK,LAK
10/29/2023,COL,BUF
10/29/2023,MIN,NJD
10/29/2023,SJS,WSH
