id,game_id,team,shots,goals,save_pct,faceoff_pct,blocked_shots,hits,game_date,season,rolling_avg_goals,rolling_avg_shots,rolling_avg_save_pct,rolling_faceoff_pct,assists
23,2019020012,ANA,29,2,96.97,25.45,20,26,10/3/2019,20192020,2,29,96.97,25.45,4
12041,2019020012,ANA,29,2,96.97,,20,26,10/3/2019,20192020,2,29,96.97,25.45,4
59,2019020030,ANA,33,3,97.22,46.21,14,26,10/5/2019,20192020,2.333333333,30.33333333,97.05333333,35.83,3
12077,2019020030,ANA,33,3,97.22,,14,26,10/5/2019,20192020,2.5,31,97.095,35.83,3
80,2019020040,ANA,29,3,96.88,18.61,6,23,10/8/2019,20192020,2.6,30.6,97.052,30.09,6
12098,2019020040,ANA,29,3,96.88,,6,23,10/8/2019,20192020,2.666666667,30.33333333,97.02333333,30.09,6
100,2019020050,ANA,32,1,92.86,24.68,13,41,10/10/2019,20192020,2.428571429,30.57142857,96.42857143,28.7375,2
12118,2019020050,ANA,32,1,92.86,,13,41,10/10/2019,20192020,2.25,30.75,95.9825,28.7375,2
118,2019020059,ANA,23,2,96.3,19.39,15,28,10/11/2019,20192020,2.222222222,29.88888889,96.01777778,26.868,4
12136,2019020059,ANA,23,2,96.3,,15,28,10/11/2019,20192020,2.2,29.2,96.046,26.868,4
156,2019020078,ANA,32,2,82.61,20.71,10,26,10/14/2019,20192020,2.2,29.5,94.61,25.92,3
12174,2019020078,ANA,32,2,82.61,,10,26,10/14/2019,20192020,2.2,29.8,93.174,25.92,3
191,2019020096,ANA,31,5,93.94,23.16,7,19,10/16/2019,20192020,2.4,29.6,92.846,21.31,8
12209,2019020096,ANA,31,5,93.94,,7,19,10/16/2019,20192020,2.6,29.4,92.518,21.31,8
223,2019020112,ANA,20,4,91.67,16.38,8,13,10/18/2019,20192020,2.7,28.5,91.997,20.864,8
12241,2019020112,ANA,20,4,91.67,,8,13,10/18/2019,20192020,2.8,27.6,91.476,20.864,8
255,2019020128,ANA,30,1,93.1,22.26,13,15,10/20/2019,20192020,2.8,27.4,91.5,20.38,2
12273,2019020128,ANA,30,1,93.1,,13,15,10/20/2019,20192020,2.8,27.2,91.524,20.38,2
276,2019020138,ANA,27,1,80,41.99,9,16,10/22/2019,20192020,2.7,27.6,89.894,24.9,0
12294,2019020138,ANA,27,1,80,,9,16,10/22/2019,20192020,2.6,28,88.264,24.9,0
304,2019020152,ANA,30,1,93.1,30.68,16,13,10/24/2019,20192020,2.5,27.8,89.313,26.894,2
12322,2019020152,ANA,30,1,93.1,,16,13,10/24/2019,20192020,2.4,27.6,90.362,26.894,2
336,2019020169,ANA,27,5,94.59,24.32,21,15,10/26/2019,20192020,2.4,27.2,90.427,27.126,7
12354,2019020169,ANA,27,5,94.59,,21,15,10/26/2019,20192020,2.4,26.8,90.492,27.126,7
352,2019020176,ANA,15,2,89.8,21.17,18,29,10/27/2019,20192020,2.2,26.3,90.305,28.084,3
12370,2019020176,ANA,15,2,89.8,,18,29,10/27/2019,20192020,2,25.8,90.118,28.084,3
373,2019020187,ANA,28,7,90,38.98,19,22,10/29/2019,20192020,2.6,25.6,89.808,31.428,11
12391,2019020187,ANA,28,7,90,,19,22,10/29/2019,20192020,3.2,25.4,89.498,31.428,11
